Date : 2026-04-06 01:38:50
Directory : c:\Users\Boungo\Desktop\perso\levelUp
Total : 107 files,  25094 codes, 341 comments, 1088 blanks, all 26523 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |          4 |     16,223 |          0 |          4 |     16,227 |
| TypeScript JSX     |         36 |      4,866 |         94 |        365 |      5,325 |
| TypeScript         |         37 |      2,992 |         98 |        487 |      3,577 |
| SQLite             |         14 |        659 |        148 |        147 |        954 |
| Markdown           |         11 |        296 |          0 |         79 |        375 |
| JavaScript         |          3 |         30 |          1 |          4 |         35 |
| JSON with Comments |          1 |         19 |          0 |          1 |         20 |
| Ignore             |          1 |          9 |          0 |          1 |         10 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                   | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                      |        107 |     25,094 |        341 |      1,088 |     26,523 |
| . (Files)                                                                                              |         11 |     16,367 |          1 |         35 |     16,403 |
| .claude                                                                                                |          8 |        184 |          0 |         44 |        228 |
| .claude\agents                                                                                         |          7 |        170 |          0 |         41 |        211 |
| .claude\commands                                                                                       |          1 |         14 |          0 |          3 |         17 |
| app                                                                                                    |         16 |      2,272 |         30 |        152 |      2,454 |
| app (Files)                                                                                            |          4 |        367 |          3 |         37 |        407 |
| app\(auth)                                                                                             |          2 |          8 |          0 |          4 |         12 |
| app\(tabs)                                                                                             |          6 |      1,033 |         15 |         58 |      1,106 |
| app\challenge                                                                                          |          1 |        200 |          3 |         12 |        215 |
| app\habit                                                                                              |          2 |        424 |          4 |         26 |        454 |
| app\settings                                                                                           |          1 |        240 |          5 |         15 |        260 |
| docs                                                                                                   |          1 |         26 |          0 |         10 |         36 |
| docs\adr                                                                                               |          1 |         26 |          0 |         10 |         36 |
| src                                                                                                    |         57 |      5,586 |        162 |        700 |      6,448 |
| src\features                                                                                           |         43 |      4,243 |        153 |        610 |      5,006 |
| src\features\auth                                                                                      |          4 |        248 |          2 |         38 |        288 |
| src\features\auth\__tests__                                                                            |          1 |         64 |          2 |         16 |         82 |
| src\features\auth\components                                                                           |          1 |        114 |          0 |         10 |        124 |
| src\features\auth\hooks                                                                                |          1 |         15 |          0 |          3 |         18 |
| src\features\auth\stores                                                                               |          1 |         55 |          0 |          9 |         64 |
| src\features\avatar                                                                                    |          1 |        245 |         34 |         25 |        304 |
| src\features\avatar\renderer                                                                           |          1 |        245 |         34 |         25 |        304 |
| src\features\daily-quests                                                                              |          7 |        796 |         21 |        118 |        935 |
| src\features\daily-quests (Files)                                                                      |          1 |         16 |          0 |          1 |         17 |
| src\features\daily-quests\__tests__                                                                    |          2 |        331 |          6 |         64 |        401 |
| src\features\daily-quests\components                                                                   |          2 |        281 |          5 |         20 |        306 |
| src\features\daily-quests\hooks                                                                        |          1 |         20 |          0 |          4 |         24 |
| src\features\daily-quests\stores                                                                       |          1 |        148 |         10 |         29 |        187 |
| src\features\gamification                                                                              |          5 |        383 |         11 |         58 |        452 |
| src\features\gamification\components                                                                   |          2 |        161 |          0 |          9 |        170 |
| src\features\gamification\hooks                                                                        |          1 |         47 |          0 |         10 |         57 |
| src\features\gamification\stores                                                                       |          2 |        175 |         11 |         39 |        225 |
| src\features\habits                                                                                    |         18 |      1,904 |         69 |        252 |      2,225 |
| src\features\habits\__tests__                                                                          |          5 |        332 |          6 |         74 |        412 |
| src\features\habits\components                                                                         |          6 |      1,122 |         18 |         73 |      1,213 |
| src\features\habits\hooks                                                                              |          1 |         92 |          6 |         20 |        118 |
| src\features\habits\stores                                                                             |          1 |        152 |         14 |         32 |        198 |
| src\features\habits\types                                                                              |          1 |         29 |          0 |          4 |         33 |
| src\features\habits\utils                                                                              |          4 |        177 |         25 |         49 |        251 |
| src\features\notifications                                                                             |          2 |        158 |          4 |         34 |        196 |
| src\features\notifications\hooks                                                                       |          1 |         27 |          4 |          5 |         36 |
| src\features\notifications\utils                                                                       |          1 |        131 |          0 |         29 |        160 |
| src\features\shop                                                                                      |          3 |        252 |          6 |         37 |        295 |
| src\features\shop\components                                                                           |          2 |        157 |          1 |         12 |        170 |
| src\features\shop\stores                                                                               |          1 |         95 |          5 |         25 |        125 |
| src\features\social                                                                                    |          3 |        257 |          6 |         48 |        311 |
| src\features\social\hooks                                                                              |          1 |         55 |          2 |         11 |         68 |
| src\features\social\stores                                                                             |          2 |        202 |          4 |         37 |        243 |
| src\lib                                                                                                |          5 |        789 |          3 |         33 |        825 |
| src\lib\constants                                                                                      |          2 |         82 |          1 |         14 |         97 |
| src\lib\storage                                                                                        |          1 |         18 |          0 |          4 |         22 |
| src\lib\supabase                                                                                       |          2 |        689 |          2 |         15 |        706 |
| src\types                                                                                              |          2 |         31 |          0 |          5 |         36 |
| src\ui                                                                                                 |          7 |        523 |          6 |         52 |        581 |
| src\ui\animations                                                                                      |          3 |        279 |          6 |         36 |        321 |
| src\ui\components                                                                                      |          2 |        123 |          0 |          8 |        131 |
| src\ui\theme                                                                                           |          2 |        121 |          0 |          8 |        129 |
| supabase                                                                                               |         14 |        659 |        148 |        147 |        954 |
| supabase\migrations                                                                                    |         14 |        659 |        148 |        147 |        954 |
+--------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                               | language           | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| c:\Users\Boungo\Desktop\perso\levelUp\.claude\agents\business-advisor.md                               | Markdown           |         25 |          0 |          6 |         31 |
| c:\Users\Boungo\Desktop\perso\levelUp\.claude\agents\cosmetic-designer.md                              | Markdown           |         35 |          0 |         11 |         46 |
| c:\Users\Boungo\Desktop\perso\levelUp\.claude\agents\db-architect.md                                   | Markdown           |         17 |          0 |          4 |         21 |
| c:\Users\Boungo\Desktop\perso\levelUp\.claude\agents\feature-builder.md                                | Markdown           |         24 |          0 |          5 |         29 |
| c:\Users\Boungo\Desktop\perso\levelUp\.claude\agents\git-manager.md                                    | Markdown           |         21 |          0 |          5 |         26 |
| c:\Users\Boungo\Desktop\perso\levelUp\.claude\agents\retention-analyst.md                              | Markdown           |         32 |          0 |          6 |         38 |
| c:\Users\Boungo\Desktop\perso\levelUp\.claude\agents\test-runner.md                                    | Markdown           |         16 |          0 |          4 |         20 |
| c:\Users\Boungo\Desktop\perso\levelUp\.claude\commands\feature.md                                      | Markdown           |         14 |          0 |          3 |         17 |
| c:\Users\Boungo\Desktop\perso\levelUp\.prettierignore                                                  | Ignore             |          9 |          0 |          1 |         10 |
| c:\Users\Boungo\Desktop\perso\levelUp\.prettierrc                                                      | JSON               |          7 |          0 |          1 |          8 |
| c:\Users\Boungo\Desktop\perso\levelUp\CLAUDE.md                                                        | Markdown           |         35 |          0 |          7 |         42 |
| c:\Users\Boungo\Desktop\perso\levelUp\README.md                                                        | Markdown           |         51 |          0 |         18 |         69 |
| c:\Users\Boungo\Desktop\perso\levelUp\app.json                                                         | JSON               |         43 |          0 |          1 |         44 |
| c:\Users\Boungo\Desktop\perso\levelUp\app\(auth)\_layout.tsx                                           | TypeScript JSX     |          4 |          0 |          2 |          6 |
| c:\Users\Boungo\Desktop\perso\levelUp\app\(auth)\sign-in.tsx                                           | TypeScript JSX     |          4 |          0 |          2 |          6 |
| c:\Users\Boungo\Desktop\perso\levelUp\app\(tabs)\_layout.tsx                                           | TypeScript JSX     |         59 |          0 |          2 |         61 |
| c:\Users\Boungo\Desktop\perso\levelUp\app\(tabs)\profile.tsx                                           | TypeScript JSX     |        175 |          5 |         12 |        192 |
| c:\Users\Boungo\Desktop\perso\levelUp\app\(tabs)\shop.tsx                                              | TypeScript JSX     |        222 |          3 |         16 |        241 |
| c:\Users\Boungo\Desktop\perso\levelUp\app\(tabs)\social.tsx                                            | TypeScript JSX     |        338 |          7 |         11 |        356 |
| c:\Users\Boungo\Desktop\perso\levelUp\app\(tabs)\stats.tsx                                             | TypeScript JSX     |        111 |          0 |         10 |        121 |
| c:\Users\Boungo\Desktop\perso\levelUp\app\(tabs)\today.tsx                                             | TypeScript JSX     |        128 |          0 |          7 |        135 |
| c:\Users\Boungo\Desktop\perso\levelUp\app\_layout.tsx                                                  | TypeScript JSX     |         75 |          0 |         11 |         86 |
| c:\Users\Boungo\Desktop\perso\levelUp\app\achievements.tsx                                             | TypeScript JSX     |         82 |          0 |          7 |         89 |
| c:\Users\Boungo\Desktop\perso\levelUp\app\challenge\create.tsx                                         | TypeScript JSX     |        200 |          3 |         12 |        215 |
| c:\Users\Boungo\Desktop\perso\levelUp\app\habit\[id].tsx                                               | TypeScript JSX     |        283 |          4 |         16 |        303 |
| c:\Users\Boungo\Desktop\perso\levelUp\app\habit\create.tsx                                             | TypeScript JSX     |        141 |          0 |         10 |        151 |
| c:\Users\Boungo\Desktop\perso\levelUp\app\index.tsx                                                    | TypeScript JSX     |          4 |          0 |          2 |          6 |
| c:\Users\Boungo\Desktop\perso\levelUp\app\onboarding.tsx                                               | TypeScript JSX     |        206 |          3 |         17 |        226 |
| c:\Users\Boungo\Desktop\perso\levelUp\app\settings\index.tsx                                           | TypeScript JSX     |        240 |          5 |         15 |        260 |
| c:\Users\Boungo\Desktop\perso\levelUp\babel.config.js                                                  | JavaScript         |          7 |          0 |          1 |          8 |
| c:\Users\Boungo\Desktop\perso\levelUp\docs\adr\001-stack-technique.md                                  | Markdown           |         26 |          0 |         10 |         36 |
| c:\Users\Boungo\Desktop\perso\levelUp\eslint.config.mjs                                                | JavaScript         |          8 |          0 |          2 |         10 |
| c:\Users\Boungo\Desktop\perso\levelUp\jest.config.js                                                   | JavaScript         |         15 |          1 |          1 |         17 |
| c:\Users\Boungo\Desktop\perso\levelUp\package-lock.json                                                | JSON               |     16,120 |          0 |          1 |     16,121 |
| c:\Users\Boungo\Desktop\perso\levelUp\package.json                                                     | JSON               |         53 |          0 |          1 |         54 |
| c:\Users\Boungo\Desktop\perso\levelUp\src\features\auth\__tests__\auth-store.test.ts                   | TypeScript         |         64 |          2 |         16 |         82 |
